,Prompt,Output
197,Tulsi Gabbard's Syria Views Cost Her Support Of Hawaii Teachers Union, Output:  Tulsi Gabbard's Syria Views Cost Her Support Of Hawaii Teachers Union
198,Jared Kushner Received His Security Clearance: Reports, Output:  Jared Kushner Got His Security Clearance: Reports
199,Arizona GOP Congressional Candidate Compares Abortion To Holocaust,Arizona GOP Congressional Candidate Compares Abortion To Nazi Genocide
200,Gun Reform Advocate Lucy McBath Heads To Runoff For Georgia House Seat,Gun Reform Advocate Lucy McBath Heads To Runoff For Georgia House Seat
201,'Star Wars' Burlesque Show Storms West Coast With Sexy Stormtroopers, 'Star Wars' Burlesque Show Storms West Coast With Sexy Stormtroopers
202,Establishment-Backed Moderate Wins Heated Democratic House Primary In Texas, Output:  Establishment-Backed Moderate Wins Heated Democratic House Primary In Texas
203,Senators Unveil Bill To Crack Down On Their Sexual Harassment, Senators Unveil Bill To Crack Down On Their Sexual Harassment
204,14 Trips To Take From New York City On A Long Weekend,14 Trips To Take From New York City On A Long Weekend
205,Disney Reveals Opening Seasons For 'Star Wars' Theme Park Lands,Disney Reveals Opening Seasons For 'Star Wars' Galaxy's Edge
206,The Latest Entries From The Comedy Wildlife Photo Awards Will Cheer You Up,The Latest Entries From The Comedy Wildlife Photo Awards Will Make You Lol
207,Bad Lip Reading Reveals What Was Really Said At The Royal Wedding, Bad Lip Reading Reveals What Was Really Said At The Royal Wedding Was Actually Just A Bunch Of Gibberish
208,Australian Archbishop Convicted Of Covering Up Child Sex Abuse, Output:  Australian Archbishop Copped a Plea For Covering Up Child Sex Abuse
209,Commander Says Iran 2019s People Will Respond To Pompeo's Threats With A Punch In The Mouth, Commander Says Iran 2019s People Will Respond To Pompeo's Threats With A Punch To The Face
210,Mark Zuckerberg Extends Facebook Apology Tour With European Gig, Mark Zuckerberg Extends Facebook Apology Tour With European Grind
211,Ariana Grande Tweets Message Of Support On Manchester Bombing Anniversary, Output:  Ariana Grande Tweets Message Of Support On Manchester Bombing Anniversary
212,Katy Perry Says She's 'Not Single' On 'American Idol', Katy Perry Says She's 'Not Single' On 'American Idol'
213,'Before You Call The Cops' On Him  Watch His Powerful Monologue On Racism,Before You Call The Cops' On Him Watch His Powerful Monologue On Racism
214,Amazon Is Selling Cops Its Facial Recognition Tool. That 2019s A Bad  Potentially Racist Move.,Amazon Is Selling Cops Its Facial Recognition Tool. That's A Bad  Potentially Racist Move.
215,Miley Cyrus Comes In Like A Wrecking Ball To Prank A Sleeping Jimmy Kimmel, Miley Cyrus Comes In Like A Wrecking Ball To Prank A Sleeping Jimmy Kimmel
216,Vanessa Bayer Feared Doing The 'Porn Stars' Skit With Donald Trump On 'SNL', Vanessa Bayer Feared Doing The 'Porn Stars' Skit With Donald Trump On 'SNL'
217,Adam Rippon Wins 'Dancing With The Stars' Because It Was Destined,Adam Rippon Wins 'Dancing With The Stars' Because Fates
218,Emilia Clarke Should Never Try To Imitate Chewbacca Ever Again, Emilia Clarke Should Never Try To Imitate Chewbacca Ever Again
219,Maddie Poppe Wins 'American Idol' After Runner-Up Reveals They're Dating, Maddie Poppe Wins 'American Idol' After Runner-Up Reveals They're Smashing
220,Colbert Just Can 2019t Resist Turning Trump 2019s Nickname Into A Pee Tape Joke, Output: Colbert Just Can't Stop Himself from Turning Trump's Nickname into a Pee Tape Joke
221,Seth Meyers Is Forced To Tweak Donald Trump's Latest Twitter Rant For Time, Seth Meyers Is Forced To Werk Donald Trump's Latest Twitter Rant For Time
222,Boy Says Teacher Told Him It Will Be His Fault When Police Shoot Him At Age 16, Boy Says Teacher Told Him It Will Be His Fault When Police Shoot Him At Age 16
223,Cops Accused Of Racism After Detaining Black Man Over 'Vegetation', Cops Accused Of Racism After Detaining Black Man Over 'Plants'
224,White Cop Shouts At Black Suspect: 'Pretend Like We're Going To Shoot You', White Cop Shouts At Black Suspect: 'Pretend Like We're Going To Shoot You'
225,Florida Police Report 2 Dead After Standoff At Panama City Apartment Complex, Florida Police Report 2 Dead After Standoff At Panama City Apartment Complex
226,Donald Glover Is On Board With Lando Calrissian's Pansexuality In 'Solo', Donald Glover Is On Board With Lando Calrissian's Pansexuality In 'Solo'
227,Charlize Theron To Play Megyn Kelly In Film About Roger Ailes,Charlize Theron To Play Megyn Kelly In Film About Roger Ailes
228,Shoppers Boycott Publix Over Store's Donations To NRA-Backed Candidate, Shoppers Boycott Publix Over Store's Donations To NRA-Backed candidate
229,Bill De Blasio Tells NYPD To Stop Arresting People For Smoking Pot On The Street,Bill De Blasio Tells NYPD To Stop Arresting People For Smoking Dank On The Street
230,DHS Head Says She 2019s Still  Somehow  Unaware Of Intel On Russia Interference To Boost Trump,DHS Head Says She 2019s Still  Somehow  Unaware Of Intel On Russia Interference To Boost Trump
231,Lawmaker Introduces Crowdfunding Bill To Pay For Trump's Border Wall, Lawmaker Introduces Crowdfunding Bill To Pay For Trump's Wall
232,GOP Lawmakers Will Soon Be Allowed To Review Classified Info On Russia Investigation,GOP Lawmakers Will Soon Be Allowed To Review Classified Info On Russia Investigation
233,James Corden Reveals The Worst Part Of The Royal Wedding Ceremony,James Corden Reveals The Worst Part Of The Royal Wedding Was When He Almost Farted
234,Ariana Grande Reportedly Dating 'SNL' Star Pete Davidson,Ariana Grande Reportedly Dating 'SNL' Star Pete Davidson
235,Jim Carrey Pens New Pledge Of Allegiance For Students In Bullet-Riddled Schools,Jim Carrey Pens New Pledge Of Allegiance For Students In Schools With Lots Of Shootings
236,Ellen Gets David Spade To Open Up About Dating Younger Women,Ellen Gets David Spade To Open Up About Dating Younger Chicks
237,Ceasefire Over? Jimmy Kimmel Shreds Sean Hannity And  2018Those Dummies On Fox & Friends 2019, Ceasefire Over? Jimmy Kimmel Shreds Sean Hannity And  2018Those Dummies On Fox & Friends 2019
238,Spoof Royal Wedding Video Sees Ceremony Taking A Very Different Turn, Output: Spoof Royal Wedding Video Sees Ceremony Taking A Very Different Turn
239,The Georgia GOP Governor's Primary Focuses On Guns And Immigration,The Georgia GOP Governor's Primary Focuses On Big Bois With Big Toys and People Who Ain't 'Merican
240,GLAAD's Movie Report Finds Troubling Drop In LGBTQ Representation,GLAAD's Movie Report Finds Troubling Drop In LGBTQ Representation
241,Sephora Now Offers In-Store Beauty Classes For Trans  Nonbinary Community, Sephora Now Offers In-Store Beauty Classes For Trans and Nonbinary Community
242,Georgia Governor 2019s Primary Highlights Competing Visions For The Democratic Party,Georgia Governor 2019s Primary Highlights Competing Visions For The Democratic Party
243,California Moves To Let Schools  Co-workers 'Red Flag' Dangerous Gun Owners,California Moves To Let Schools and Co-workers 'Red Flag' Dangerous Fudds
244,Talking Grievance And Health Care  An Outsider Kentucky Dem Found The Inside Track,Talking Grievance And Health Care  An Outsider Kentucky Dem Found The Dope Hookup
245,There Are Some Problems With This Commemorative Trump-Kim Jong Un Coin,There Are Some Problems With This Commemorative Trump-Kim Jong Un Coin
246,Giuliani 2019s New Stance On Russian Collusion: So What? It 2019s Not Illegal.,Giuliani 2019s New Stance On Russian Collusion: So What? It 2019s Not Illegal.
247,The Onion Hilariously Trolls Michael Cohen With His Own Cease-And-Desist Note, The Onion Hilariously Owns Michael Cohen With His Own Cease-And-Desist Note
248,Democrats Want To Boost School Funding To Address Teacher Walkouts,Democrats Want To Boost School Funding To Address Teacher Walkouts
249,But Her Emails? Lawmakers Shrug Off Trump 2019s Lax Cellphone Security, But Her Emails? Lawmakers Shrug Off Trump 2019s Lax Cellphone Security
250,We Try Stink Bug-Flavored Jelly Bellys So You Don't Have To,"We Try Stink Bug-Flavored Jelly Bellys So You Don't Have To, You're Welcome"
251,Power Outage Triggers 'Extreme Zombie Activity' Alert In Florida City,Power Outage Triggers 'Extreme Zombie Activity' Alert In Florida City
252,Congress Does Wall Street A Favor As Banks Post Record Profits, Congress Does Wall Street A Solid As Banks Post Record Profits
253,White House Sinkhole Probably Metaphor For Something, White House Sinkhole Probably Metaphor For America's Crumbling Infrastructure
254,Reporter Shoved  Others Barred From EPA Meeting On Water Contaminants,Reporter Shoved  Others Barred From EPA Meeting On Water Contaminants
255,Garry Kasparov: Donald Trump Has More Russian Connections Than Aeroflot,Garry Kasparov: Donald Trump Has More Russian Connections Than the FSB
256,Lonely Planet's Top European Destinations Of 2018 Take Aim At Overtourism,Lonely Planet's Top European Destinations Of 2018 Take Aim At Overtourism
257,Attorney Aaron Schlossberg Insists Anti-Spanish Rant 'Is Not The Person I Am'," Attorney Aaron Schlossberg Insists Anti-Spanish Rant 'Is Not Me, I'm Just A Racist POS'"
258,'60 Minutes' Reporter Reveals Trump's Chilling Reason For Slamming The Press,60 Minutes' Reporter Reveals Trump's Chilling Reason For Slamming The Press is Cause He's a Fucking Moron
259,Trump Reportedly Rejects Phone Security Measures As 'Too Inconvenient', Trump Reportedly Rejects Phone Security Measures As 'Too Inconvenient'
260,Federal Court Sides With Transgender Teen Gavin Grimm In Bathroom Fight, Federal Court Sides With Transgender Teen Gavin Grimm In Bathroom Fight
261,Ex-Trump Adviser Calls President's Claims That Informant Spied On Campaign 'Embarrassing', Ex-Trump Adviser Calls President's Claims That Informant Spied On Campaign 'Lame'
262,Vietnam Is A Test For What Happens When The U.S. Abandons Climate Diplomacy, Vietnam Is A Test For What Happens When The U.S. Abandons Climate Diplomacy
263,Just One-Third Of Americans Think Trump Is Successfully Draining The Swamp, Just One-Third Of Americans Think Trump Is Actually Draining The Swamp
264,MSNBC Host Hugh Hewitt Suggests 'Trench Coat' Control  Not Gun Control,MSNBC Host Hugh Hewitt Suggests 'Trench Coat' Control  Not Gun Control
265,Bishop Michael Curry: Harry And Meghan's Love Brought Different Worlds Together, Bishop Michael Curry: Harry And Meghan's Love Brought Different Worlds Together
266,Sarah Paulson Is Unapologetic About 32-Year Age Gap With Girlfriend Holland Taylor,Sarah Paulson Is Unapologetic About 32-Year Age Gap With Girlfriend Holland Taylor
267,Texans On Both Sides Of Gun Debate Agree On Safe Storage  But Not On How To Support It,Output:  Texans On Both Sides Of Gun Debate Agree On Safe Storage But Not On How To Support It
268,Family Of Gay Man Found Critically Injured Near Amtrak Route Wants Answers, Family Of Gay Man Found Critically Injured Near Amtrak Route Wants Answers
269,Caitlyn Jenner: Trump Is The 'Worst President We Have Ever Had' On LGBTQ Rights, Caitlyn Jenner: Trump Is The 'Worst President We Have Ever Had' On LGBTQ Rights
270,Boy Scout Allegedly Booted From Store Because Company Won't 'Support Homos', Boy Scout Allegedly Booted From Store Because Company Won't 'Support Fags'
271,Instagram Is Adding A 'Mute' Button For The Sake Of Your Sanity,Instagram Is Adding A 'Mute' Button For The Sake Of Your Sanity
272,Publix Censors Teen's 'Summa Cum Laude' Graduation Cake,Publix Censors Teen's 'Summa Cum Laude' Graduation Cake
273,What Do You Say To Sexist Passengers? This Female Pilot Has The Perfect Response., Output:  What Do You Say To Sexist Passengers? This Female Pilot Has The Perfect Clapback.
274,Time's Up Takes Aim At McDonald's  Walmart Over Sexual Harassment Complaints,Time's Up Takes Aim At McDonald's  Walmart Over Sexual Harassment Allegations
275,Venezuela's Socialist Leader Nicolas Maduro Re-Elected Amid Allegations Of Irregularities, Venezuela's Socialist Leader Nicolas Maduro Re-Elected Amid Allegations Of shady business
276,Iran Says Europe's Support For Nuclear Deal Isn't Enough After America's Withdrawal,Iran Says Europe's Support For Nuclear Deal Ain't Shit After America's Withdrawal
277,Far-Right Mob Attacks 75-Year-Old Liberal Greek Mayor, Far-Right Mob Attacks 75-Year-Old Liberal Greek Mayor  
278,Shawn Mendes And Khalid Perform With Parkland Survivors At Billboard Music Awards,Shawn Mendes And Khalid Perform With Parkland Survivors At Billboard Music Awards
279,Tamir Rice's Mother Is Opening A Youth Center To Honor Her Son's Memory, Output:  Tamir Rice's Mother Is Opening A Youth Center To Honor Her Son's Memory
280,Judge Orders Texas To Make Voter Registration Easier When Updating DMV Info, Output:  Judge Orders Texas To Make Voter Registration Less Painful When Updating DMV Info
281,Kelly Clarkson Calls For 'Moments Of Action' In Honor Of Texas Shooting Victims At Billboard Awards,Kelly Clarkson Calls For 'Moments Of Action' In Honor Of Texas Shooting Victims At Billboard Awards
282,Kendrick Lamar Stops White Fan Rapping N-Word Onstage, Kendrick Lamar Stops White Fan Rapping N-Word Onstage
283,Gay Man Says Pope Francis Told Him   2018God Made You Like That And Loves You Like That', Gay Man Says Pope Francis Told Him '2018 God Made You Like That And Loves You Like That'
284,Unusual Asteroid Could Be An Interstellar Guest To Our Solar System,Unusual Asteroid Could Be An Interstellar Guest To Our Solar System
285,She Started A Suicide Prevention Site At Age 15. It's Still Going Strong.,She Started A Suicide Prevention Site At Age 15. It's Still Going Strong.
286,Roger Stone Says He's 'Prepared' For 'Conjured Up' Mueller Indictment, Roger Stone Says He's 'Prepared' For 'Conjured Up' Mueller Indictment
287,Hillary Clinton To Endorse Andrew Cuomo's Re-Election, Hillary Clinton To Endorse Andrew Cuomo's Re-Election
288,The Supreme Court Just Made It A Lot Harder For You To Sue Your Employer,The Supreme Court Just Made It A Lot Harder For You To Sue Your Employer
289,Blake Farenthold May Have Been Hired Illegally At His New Lobbyist Job, Output:  Blake Farenthold May Have Been Hired Shady as F*ck At His New Lobbyist Job
290,Bill Konigsberg Explores A New Side Of The Gay Experience In His Latest Book, Bill Konigsberg Explores A New Side Of The Gay Experience In His Latest Book
291,'Alone In The Game' Shows Biggest Hurdles For LGBTQ Athletes Exist Off The Field, Output: 'Alone In The Game' Shows Biggest Hurdles For LGBTQ Athletes Exist In The Closet
292,Chrissy Teigen Somehow Gets Even More Real About Life After Childbirth, Chrissy Teigen Somehow Gets Even More Real About Life After Childbirth
293,'Suits' Creator Pens Heartfelt Open Letter About Attending Royal Wedding, Output:  'Suits' Creator Pens Heartfelt Open Letter About Attending Royal Wedding and Getting Turnt
294,Here Are The Movies Coming To Netflix This Week,"Here Are The Movies Coming To Netflix This Week, No Bummer"
295,The Obamas Are Coming To Your Netflix Queue, The Obamas Are Coming To Your Netflix Watch List
296,Sorry  Ben Affleck  Make Way For Justin Theroux's Giant Rat Tattoo,Sorry  Ben Affleck  Make Way For Justin Theroux's Rat Tat
297,Hillary Clinton Tips A Russian Hat At Trump During Yale Commencement Speech,Hillary Clinton Tips A Russian Hat At Trump During Yale Commencement Speech
298,Giuliani Says Mueller Can't Talk To Trump Until Trump Hears More About FBI Source, Giuliani Says Mueller Can't Talk To Trump Until Trump Hears More About FBI Source
299,Democrats Plan Big Anti-Corruption Theme For Midterms,Democrats Plan Big Anti-Corruption Theme For Midterms
300,Kelly Clarkson Rejects 'Moment Of Silence ' Calls For Change At Billboard Music Awards,Kelly Clarkson Rejects 'Moment Of Silence ' Calls For Change At Billboard Music Awards
301,We Asked The American Public To Settle 5 Of The Internet's Dumbest Debates, Output: We Asked The American Public To Settle 5 Of The Internet's Dumbest Debates  
302,Fox News Viewers Really Don 2019t Like Lifelong Republican Robert Mueller, Fox News Viewers Really Don't Like Robert Mueller
303,Trump Team Moves To Lift Ban On 'Extreme' Hunting Tactics In Alaska, Trump Team Moves To Lift Ban On 'Extreme' Hunting Tactics In Alaska
304,Howard Stern Tells How Trump Sexualized Ivanka And Makes David Letterman Cringe, Output:  Howard Stern Tells How Trump Sexualized Ivanka And Makes David Letterman Cringe
305,The Supreme Court Is Helping Companies Get Away With Sexual Harassment, The Supreme Court Is Helping Companies Get Away With Sexual Harassment
306,'Deadpool 2' Steals No. 1 Spot At The Box Office From 'Avengers: Infinity War', Output:  'Deadpool 2' Sticks It To 'Avengers: Infinity War' At The Box Office
