,Prompt,Resp,Score,,,,
165, 201813 Reasons Why 2019 Started A Conversation. Who 2019s Responsible For Finishing It?, 201813 Reasons Why 2019 Started A Conversation. Who 2019s Responsible For Finishing It?,0,,,,
166,Lourdes Leon Gives Us Major Madonna Vibes In Moody New Ad Campaign Pics, Lourdes Leon is giving us major Madonna vibes in her new ad campaign pics!,0,,,,
167,5 Ways Netflix Tricks You Into Watching More Shows And Movies," 5 Ways Netflix Tricks You Into Watching More Shows And Movies  1. The ""You Might Also Like"" Section  2. The ""Continue Watching"" Section  3. The ""Popular on Netflix"" Section  4. The ""Recommended for You"" Section  5. The ""New Releases"" Section",1,,,,
168,Brad Pitt Made Ryan Reynolds Do One Demeaning Thing In Exchange For 'Deadpool 2' Cameo, Brad Pitt made Ryan Reynolds do one demeaning thing in exchange for 'Deadpool 2' cameo.,0,,,,
169,Robert De Niro Bans Trump From Every Nobu Restaurant, Robert De Niro Bans Trump From Every Nobu Restaurant  Bobby D. bans The Donald from all Nobu locations.,1,,,,
170,Ariana Grande Shuts Down Fan Blaming Her For  2018Heartbreaking 2019 Mac Miller Split, Ariana Grande shuts down fan blaming her for the 2018 heartbreaking 2019 Mac Miller split.,0,,,,
171,Parents Slam 'Show Dogs' Scenes As Grooming Children For Sexual Abuse, Parents are pissed about the sexual abuse scenes in Show Dogs.,3,,,,
172,Dave Grohl Wants To Apologize To The World For  2018Massive Jerk 2019 Trump, Dave Grohl Wants To Apologize To The World For 2018Massive Jerk 2019 Trump  Dave Grohl wants to apologize to the world for being a massive jerk in 2019.,1,,,,
173,Emilia Clarke Introduced Herself To Prince William In A Pretty Embarrassing Way, Emilia Clarke introduced herself to Prince William in a pretty embarrassing way.  Emilia Clarke introduced herself to Prince William in a pretty embarrassing way.,1,,,,
174,Sarah Paulson Takes Impressions To Next Level On 'Tonight Show', Sarah Paulson took her impressions to the next level on 'Tonight Show.',0,,,,
175,The B-52s Are Still Ready To Party. And Be Taken Seriously., The B-52s are still ready to party and be taken seriously.,0,,,,
176,Gina Ortiz Jones Wins Democratic Runoff In Texas Congressional Race, Gina Ortiz Jones won the Democratic runoff in the Texas congressional race.,0,,,,
177,Fighter Pilot Amy McGrath Wins Democratic Primary In Kentucky Swing District, Fighter Pilot Amy McGrath Wins Democratic Primary In Kentucky Swing District  Pilot Amy McGrath wins Dem Primary in KY Swing District,1,,,,
178,Trump Rallies Conservatives With Promise Of More Abortion Curbs, Trump Rallies Conservatives With Promise Of More Abortion Curbs  Trump rallies conservatives with the promise of more abortion curbs.,1,,,,
179,The ACLU Is Suing To Strike Down Ohio's Congressional Map, The ACLU is suing to strike down Ohio's congressional map.,0,,,,
180,The Latest School Shooting Hasn't Really Stirred The Gun Debate, The latest school shooting hasn't really stirred the gun debate.,0,,,,
181,Donald Trump Tweet Rescues 'Roseanne' And Family In Season Finale, Donald Trump's tweet rescues 'Roseanne' and family in season finale.,0,,,,
182,Ellen Grills Mark Wahlberg About His Shirtless Instagram Selfies, Ellen grills Mark Wahlberg about his shirtless Instagram selfies.,0,,,,
183,Idris Elba To Star As The New Hunchback Of Notre Dame For Netflix, Idris Elba is gonna be the new Hunchback of Notre Dame for Netflix.,2,,,,
184,Maryland Police Charge 3 Church Leaders With Past Abuse Of At-Risk Teen Girls, The Maryland police charged three church leaders with past abuse of at-risk teen girls.  The Maryland police charged three church leaders with past abuse of at-risk teen girls.,1,,,,
185,NFL Bans Kneeling During The National Anthem, NFL Bans Kneeling During The National Anthem  The NFL has banned players from kneeling during the national anthem.,1,,,,
186,Conan O'Brien Muscles In On The Royal Wedding With His Own Spoof Ads, Conan O'Brien is cramping the style of the Royal Wedding with his own spoof ads.,0,,,,
187,House Republicans Report Progress On An Immigration Deal, House Republicans are making progress on an immigration deal.,0,,,,
188,Democrats Weren't Invited To Review Classified Documents On FBI Informant, The Dems weren't invited to check out the classified docs on the FBI informant.,0,,,,
189,GOP Candidate Who Pointed Gun At Teenager Advances To Georgia Governor Primary Runoff, The GOP candidate who pointed a gun at a teenager is moving on to the Georgia Governor Primary Runoff.,0,,,,
190,Walking Definition Of An Entitled Millennial Swears He's Not An Entitled Millennial, Walking definition of an entitled millennial swears he's not an entitled millennial.,0,,,,
191,Democrats Push To Be Included In Classified Briefing On FBI Informant, The Dems are tryin' to get in on the classified briefing on the FBI informant.,3,,,,
192,Machines Don't Always Steal Our Jobs. Increasingly  They Rob Our Work Of Humanity., Machines don't always steal our jobs. They increasingly rob our work of humanity.,0,,,,
193,Trump Praises Tomi Lahren After Restaurant Crowd Tosses Water  Insults, Trump Praises Tomi Lahren After Restaurant Crowd Tosses Water  Insults  Trump Praises Tomi Lahren After Restaurant Crowd Tosses Water  Insults,1,,,,
194,Sarah Sanders: It 'Bothers Me' Being Called A Liar, Sarah Sanders: It 'Bothers Me' Being Called A Liar  Sarah Sanders: It 'Bothers Me' Being Called A Liar,1,,,,
195,Trump Blocking People On Twitter Is Unconstitutional  Judge Rules," Trump Blocking People On Twitter Is Unconstitutional  Judge Rules  Trump blocking people on Twitter is unconstitutional, judge rules.",1,,,,
196,A Mostly Non-Christian Militia Won 2 Of Iraqi Christians' Parliamentary Seats. Now Christians Want Trump To Intervene., A Militia Won 2 Of Christians' Seats. Now Christians Want Trump To Intervene.,1,,,,
197,Tulsi Gabbard's Syria Views Cost Her Support Of Hawaii Teachers Union, Tulsi Gabbard's Syria Views Cost Her Support Of Hawaii Teachers Union  Tulsi Gabbard's Syria Views Cost Her Support Of Hawaii Teachers Union,0,,,,
198,Jared Kushner Received His Security Clearance: Reports, Jared Kushner received his security clearance: reports.,0,,,,
199,Arizona GOP Congressional Candidate Compares Abortion To Holocaust, Arizona GOP Congressional Candidate Compares Abortion To Holocaust  This is a really messed up thing to say.,1,,,,
200,Gun Reform Advocate Lucy McBath Heads To Runoff For Georgia House Seat, Gun Reform Advocate Lucy McBath heads to runoff for Georgia House Seat  Gun Reform Advocate Lucy McBath heads to runoff for Georgia House Seat,1,,,,
201,'Star Wars' Burlesque Show Storms West Coast With Sexy Stormtroopers, 'Star Wars' Burlesque Show Storms West Coast With Sexy Stormtroopers  'Star Wars' Burlesque Show Storms West Coast With Sexy Stormtroopers,1,,,,
202,Establishment-Backed Moderate Wins Heated Democratic House Primary In Texas, The establishment-backed moderate won the heated Democratic House primary in Texas.,0,,,,
203,Senators Unveil Bill To Crack Down On Their Sexual Harassment, Senators Unveil Bill To Crack Down On Their Sexual Harassment  The senators unveiled a bill that would crack down on sexual harassment.,0,,,,
204,14 Trips To Take From New York City On A Long Weekend, 14 getaways to take from NYC on a long weekend.,0,,,,
205,Disney Reveals Opening Seasons For 'Star Wars' Theme Park Lands," Disney Reveals Opening Seasons For 'Star Wars' Theme Park Lands  Disney reveals that the much-anticipated ""Star Wars"" theme park lands will open in the summer and fall of 2019.",0,,,,
206,The Latest Entries From The Comedy Wildlife Photo Awards Will Cheer You Up, The latest entries from the Comedy Wildlife Photo Awards will cheer you up.,0,,,,
207,Bad Lip Reading Reveals What Was Really Said At The Royal Wedding, Bad Lip Reading reveals what was really said at the Royal Wedding.,0,,,,
208,Australian Archbishop Convicted Of Covering Up Child Sex Abuse, Australian Archbishop Convicted Of Covering Up Child Sex Abuse  Aussie Archbishop Copped For Covering Up Child Sex Abuse,1,,,,
209,Commander Says Iran 2019s People Will Respond To Pompeo's Threats With A Punch In The Mouth, Commander Says Iran 2019s People Will Respond To Pompeo's Threats With A Punch In The Mouth  The Commander says that Iran's people will respond to Pompeo's threats with a punch in the mouth.,1,,,,
210,Mark Zuckerberg Extends Facebook Apology Tour With European Gig, Mark Zuckerberg extends Facebook apology tour with European gig.  Mark Zuckerberg extends Facebook apology tour with European trip.,1,,,,
211,Ariana Grande Tweets Message Of Support On Manchester Bombing Anniversary, Ariana Grande tweets message of support on Manchester bombing anniversary.  Ariana Grande tweets a message of support on the anniversary of the Manchester bombing.,1,,,,
212,Katy Perry Says She's 'Not Single' On 'American Idol', Katy Perry says she's 'not single' on 'American Idol.'  N/A,0,,,,
213,'Before You Call The Cops' On Him  Watch His Powerful Monologue On Racism," Before you call the police on him, watch his powerful monologue on racism.",0,,,,
214,Amazon Is Selling Cops Its Facial Recognition Tool. That 2019s A Bad  Potentially Racist Move., Amazon is selling cops its facial recognition tool. That 2019s a bad potentially racist move.,0,,,,
215,Miley Cyrus Comes In Like A Wrecking Ball To Prank A Sleeping Jimmy Kimmel, Miley Cyrus comes in like a wrecking ball to prank a sleeping Jimmy Kimmel.,0,,,,
216,Vanessa Bayer Feared Doing The 'Porn Stars' Skit With Donald Trump On 'SNL', Vanessa Bayer was scared to do the 'porn stars' skit with Donald Trump on 'SNL'.,0,,,,
217,Adam Rippon Wins 'Dancing With The Stars' Because It Was Destined, Adam Rippon won 'Dancing With The Stars' because it was his destiny.,0,,,,
218,Emilia Clarke Should Never Try To Imitate Chewbacca Ever Again, Ems should never try to imitate Chewie again.,2,,,,
219,Maddie Poppe Wins 'American Idol' After Runner-Up Reveals They're Dating, Maddie Poppe Wins 'American Idol' After Runner-Up Reveals They're Dating  Maddie Poppe won 'American Idol' after the runner-up revealed that they were dating.,1,,,,
220,Colbert Just Can 2019t Resist Turning Trump 2019s Nickname Into A Pee Tape Joke, Colbert just can't resist turning Trump's nickname into a pee tape joke.,0,,,,
221,Seth Meyers Is Forced To Tweak Donald Trump's Latest Twitter Rant For Time, Seth Meyers is forced to change Donald Trump's latest Twitter message for time.,1,,,,
222,Boy Says Teacher Told Him It Will Be His Fault When Police Shoot Him At Age 16, Boy says teacher told him it will be his fault when police shoot him at age 16.  Boy says teacher told him it will be his fault when police shoot him at age 16.,1,,,,
223,Cops Accused Of Racism After Detaining Black Man Over 'Vegetation', Cops are racist for detaining a black man over vegetation.,0,,,,
224,White Cop Shouts At Black Suspect: 'Pretend Like We're Going To Shoot You', White Cop Shouts At Black Suspect: 'Pretend Like We're Going To Shoot You'  White Cop Shouts At Black Suspect: 'Pretend Like We're Going To Shoot You',1,,,,
225,Florida Police Report 2 Dead After Standoff At Panama City Apartment Complex," Florida Police Report 2 Dead After Standoff At Panama City Apartment Complex  2 people are dead after a police standoff at an apartment complex in Panama City, Florida.",1,,,,
226,Donald Glover Is On Board With Lando Calrissian's Pansexuality In 'Solo', Donald Glover is on board with Lando Calrissian's pansexuality in 'Solo.',0,,,,
227,Charlize Theron To Play Megyn Kelly In Film About Roger Ailes, Charlize Theron to play Megyn Kelly in film about Roger Ailes.  This sentence is not in slang.,0,,,,
228,Shoppers Boycott Publix Over Store's Donations To NRA-Backed Candidate, People are mad at Publix cuz they gave money to a politician who the NRA supports.,0,,,,
229,Bill De Blasio Tells NYPD To Stop Arresting People For Smoking Pot On The Street, Bill De Blasio tells NYPD to stop arresting people for smoking pot on the street.,0,,,,
230,DHS Head Says She 2019s Still  Somehow  Unaware Of Intel On Russia Interference To Boost Trump, DHS Head Says She's Still Somehow Unaware Of Intel On Russia Interference To Boost Trump,0,,,,
231,Lawmaker Introduces Crowdfunding Bill To Pay For Trump's Border Wall, A politician introduced a bill that would allow people to donate money to pay for Trump's border wall.,0,,,,
232,GOP Lawmakers Will Soon Be Allowed To Review Classified Info On Russia Investigation," GOP Lawmakers Will Soon Be Allowed To Review Classified Info On Russia Investigation  Hey, dude, the GOP is, like, totally going to be able to check out the classified info on the Russia investigation soon.",0,,,,
233,James Corden Reveals The Worst Part Of The Royal Wedding Ceremony, James Corden reveals the worst part of the royal wedding ceremony: the officiant's speech.,0,,,,
234,Ariana Grande Reportedly Dating 'SNL' Star Pete Davidson, Ariana Grande is reportedly dating 'SNL' star Pete Davidson.,0,,,,
235,Jim Carrey Pens New Pledge Of Allegiance For Students In Bullet-Riddled Schools," Jim Carrey Pens New Pledge Of Allegiance For Students In Bullet-Riddled Schools  Jim Carrey has written a new pledge of allegiance for students in schools that have been hit by gun violence. The new pledge, which was posted on Twitter, reads:  ""I pledge allegiance  To the students of the United States of America  In the schools that have been shot up  And the students who have been shot  I pledge to stand with you  ",1,,,,
236,Ellen Gets David Spade To Open Up About Dating Younger Women, Ellen gets David Spade to open up about dating younger women.,0,,,,
237,Ceasefire Over? Jimmy Kimmel Shreds Sean Hannity And  2018Those Dummies On Fox & Friends 2019," Wassup y'all, looks like the ceasefire is over! Jimmy Kimmel just shredded Sean Hannity and them dummies on Fox & Friends!",1,,,,
238,Spoof Royal Wedding Video Sees Ceremony Taking A Very Different Turn, This sentence is in proper English and does not need to be replaced with slang.,1,,,,
239,The Georgia GOP Governor's Primary Focuses On Guns And Immigration, The Georgia GOP Governor's Primary Focuses On Guns And Immigration  The Georgia GOP Governor's Primary Focuses On Guns And Immigration,1,,,,
240,GLAAD's Movie Report Finds Troubling Drop In LGBTQ Representation, GLAAD's Movie Report Finds Troubling Drop In LGBTQ Representation  GLAAD's Movie Report Finds Troubling Drop In LGBTQ Representation,1,,,,
241,Sephora Now Offers In-Store Beauty Classes For Trans  Nonbinary Community, Sephora Now Offers In-Store Beauty Classes For Trans  Nonbinary Community  Sephora now offers in-store beauty classes for the trans and nonbinary community!,1,,,,
242,Georgia Governor 2019s Primary Highlights Competing Visions For The Democratic Party, Georgia Governor 2019s Primary Highlights Competing Visions For The Democratic Party  This sentence is difficult to understand.,1,,,,
243,California Moves To Let Schools  Co-workers 'Red Flag' Dangerous Gun Owners," California moves to let schools and co-workers ""red flag"" dangerous gun owners.",0,,,,
244,Talking Grievance And Health Care  An Outsider Kentucky Dem Found The Inside Track," Talking smack and health care, a Dem from Kentucky found the inside track.",3,,,,
245,There Are Some Problems With This Commemorative Trump-Kim Jong Un Coin, There's a problem with this Trump-Kim Jong Un coin.,0,,,,
246,Giuliani 2019s New Stance On Russian Collusion: So What? It 2019s Not Illegal., Giuliani 2019s New Stance On Russian Collusion: So What? It 2019s Not Illegal.  What's the big deal? It's not like it's against the law or anything.,2,,,,
247,The Onion Hilariously Trolls Michael Cohen With His Own Cease-And-Desist Note, The Onion is trolling Michael Cohen with his own cease-and-desist note.,0,,,,
248,Democrats Want To Boost School Funding To Address Teacher Walkouts, The Dems are tryin' to increase school fundin' to help out with the teacher walkouts.,2,,,,
249,But Her Emails? Lawmakers Shrug Off Trump 2019s Lax Cellphone Security, But Her Emails? Lawmakers Shrug Off Trump 2019s Lax Cellphone Security  But her emails? Lawmakers shrug off Trump's lax cellphone security.,2,,,,
250,We Try Stink Bug-Flavored Jelly Bellys So You Don't Have To, We tried stink bug-flavored Jelly Bellys so you don't have to.,0,,,,
251,Power Outage Triggers 'Extreme Zombie Activity' Alert In Florida City, The power went out and it was like the zombies were coming out!,3,,,,
252,Congress Does Wall Street A Favor As Banks Post Record Profits, Congress Does Wall Street A Favor As Banks Post Record Profits   Congress is lookin' out for Wall Street as banks post record profits.,2,,,,
253,White House Sinkhole Probably Metaphor For Something, This White House sinkhole is prob'ly a metaphor for somethin'.,0,,,,
254,Reporter Shoved  Others Barred From EPA Meeting On Water Contaminants," Reporter shoved, others barred from EPA meeting on water contaminants.",0,,,,
255,Garry Kasparov: Donald Trump Has More Russian Connections Than Aeroflot, Garry Kasparov: Donald Trump Has More Russian Connections Than Aeroflot  Kasparov: Trump has more Russian connections than Aeroflot.,1,,,,
256,Lonely Planet's Top European Destinations Of 2018 Take Aim At Overtourism, Lonely Planet's Top European Destinations Of 2018 Take Aim At Overtourism  Lonely Planet's Top European Destinations Of 2018 are the perfect places to avoid overtourism.,1,,,,
257,Attorney Aaron Schlossberg Insists Anti-Spanish Rant 'Is Not The Person I Am', Attorney Aaron Schlossberg insists anti-Spanish rant 'is not the person I am',0,,,,
258,'60 Minutes' Reporter Reveals Trump's Chilling Reason For Slamming The Press, '60 Minutes' Reporter Reveals Trump's Chilling Reason For Slamming The Press  '60 Minutes' Reporter Reveals Trump's Chilling Reason For Slamming The Press  The reporter said that Trump's reason for slamming the press is because he wants to control the narrative.,1,,,,
259,Trump Reportedly Rejects Phone Security Measures As 'Too Inconvenient', Trump Reportedly Rejects Phone Security Measures As 'Too Inconvenient'  Trump reportedly rejects phone security measures as 'too inconvenient.',1,,,,
260,Federal Court Sides With Transgender Teen Gavin Grimm In Bathroom Fight, The Feds came down on the side of trans teen Gavin Grimm in his battle over which bathroom he can use.,0,,,,
261,Ex-Trump Adviser Calls President's Claims That Informant Spied On Campaign 'Embarrassing', Ex-Trump Adviser Calls President's Claims That Informant Spied On Campaign 'Lame',2,,,,
262,Vietnam Is A Test For What Happens When The U.S. Abandons Climate Diplomacy, Vietnam is a test for what happens when the U.S. abandons climate diplomacy.,0,,,,
263,Just One-Third Of Americans Think Trump Is Successfully Draining The Swamp, Just a third of Americans think Trump is successfully draining the swamp.,0,,,,
264,MSNBC Host Hugh Hewitt Suggests 'Trench Coat' Control  Not Gun Control, MSNBC Host Hugh Hewitt Suggests 'Trench Coat' Control Not Gun Control,0,,,,
265,Bishop Michael Curry: Harry And Meghan's Love Brought Different Worlds Together, Bishop Michael Curry: Harry And Meghan's Love Brought Different Worlds Together  Bishop Michael Curry: Harry and Meghan's love brought different worlds together.,0,,,,
266,Sarah Paulson Is Unapologetic About 32-Year Age Gap With Girlfriend Holland Taylor, Sarah Paulson is unapologetic about the 32-year age gap with her girlfriend Holland Taylor.,0,,,,
267,Texans On Both Sides Of Gun Debate Agree On Safe Storage  But Not On How To Support It," Texans On Both Sides Of Gun Debate Agree On Safe Storage But Not On How To Support It  Y'all Texans on both sides of the gun debate can agree on the need for safe gun storage, but not on how to support it.",1,,,,
268,Family Of Gay Man Found Critically Injured Near Amtrak Route Wants Answers, Family Of Gay Man Found Critically Injured Near Amtrak Route Wants Answers  The family of a gay man who was found critically injured near an Amtrak route is demanding answers.,1,,,,
269,Caitlyn Jenner: Trump Is The 'Worst President We Have Ever Had' On LGBTQ Rights, Caitlyn Jenner: Trump is the 'worst president we have ever had' on LGBTQ rights.,0,,,,
270,Boy Scout Allegedly Booted From Store Because Company Won't 'Support Homos', Boy Scout Allegedly Booted From Store Because Company Won't 'Support Fags',1,,,,
271,Instagram Is Adding A 'Mute' Button For The Sake Of Your Sanity, Instagram is adding a 'mute' button for the sake of your sanity.  Instagram is adding a 'mute' button so you don't have to see someone's annoying posts anymore.,1,,,,
272,Publix Censors Teen's 'Summa Cum Laude' Graduation Cake," Publix Censors Teen's 'Summa Cum Laude' Graduation Cake  Publix is being a total buzzkill and won't let this teen have her ""summa cum laude"" graduation cake.",1,,,,
273,What Do You Say To Sexist Passengers? This Female Pilot Has The Perfect Response., What's the deal with sexist passengers? This female pilot has the perfect response.,0,,,,
274,Time's Up Takes Aim At McDonald's  Walmart Over Sexual Harassment Complaints, Time's up is taking aim at McDonald's and Walmart over sexual harassment complaints.,0,,,,
275,Venezuela's Socialist Leader Nicolas Maduro Re-Elected Amid Allegations Of Irregularities, Venezuela's Socialist Leader Nicolas Maduro Re-Elected Amid Allegations Of Irregularities  Venezuela's Socialist Leader Nicolas Maduro Re-Elected Amid Allegations Of Irregularities,0,,,,
276,Iran Says Europe's Support For Nuclear Deal Isn't Enough After America's Withdrawal, Iran says Europe's support for nuclear deal isn't enough after America's withdrawal.  Iran says Europe's support for nuclear deal ain't enough after America's withdrawal.,1,,,,
277,Far-Right Mob Attacks 75-Year-Old Liberal Greek Mayor, Right-wingers beat up an old lefty mayor.,2,,,,
278,Shawn Mendes And Khalid Perform With Parkland Survivors At Billboard Music Awards, Shawn Mendes and Khalid performed with Parkland survivors at Billboard Music Awards.  Shawn Mendes and Khalid performed with Parkland survivors at BBMAs.,1,,,,
279,Tamir Rice's Mother Is Opening A Youth Center To Honor Her Son's Memory, Tamir Rice's mother is opening a youth center to honor her son's memory.  Tamir Rice's mom is opening a youth center to honor her son's memory.,1,,,,
280,Judge Orders Texas To Make Voter Registration Easier When Updating DMV Info, A judge ordered Texas to make voter registration easier when updating DMV info.,0,,,,
281,Kelly Clarkson Calls For 'Moments Of Action' In Honor Of Texas Shooting Victims At Billboard Awards," Kelly Clarkson called for ""moments of action"" in honor of Texas shooting victims at Billboard Awards.",0,,,,
282,Kendrick Lamar Stops White Fan Rapping N-Word Onstage, Kendrick Lamar Stops White Fan Rapping N-Word Onstage  Kendrick Lamar shut down a white fan who was rapping the n-word onstage with him.,1,,,,
283,Gay Man Says Pope Francis Told Him   2018God Made You Like That And Loves You Like That', A gay man says Pope Francis told him that God made him like that and loves him like that.,0,,,,
284,Unusual Asteroid Could Be An Interstellar Guest To Our Solar System, This asteroid is weird AF and might not be from our solar system.,3,,,,
285,She Started A Suicide Prevention Site At Age 15. It's Still Going Strong., She started a suicide prevention site at age 15. It's still going strong.,0,,,,
286,Roger Stone Says He's 'Prepared' For 'Conjured Up' Mueller Indictment, Roger Stone says he's 'prepared' for 'conjured up' Mueller indictment.,0,,,,
287,Hillary Clinton To Endorse Andrew Cuomo's Re-Election, Hillary Clinton is gonna endorse Andrew Cuomo's re-election.,0,,,,
288,The Supreme Court Just Made It A Lot Harder For You To Sue Your Employer, The Supremes just made it a lot harder for you to sue your employer.,0,,,,
289,Blake Farenthold May Have Been Hired Illegally At His New Lobbyist Job, Blake Farenthold may have been hired illegally at his new lobbyist job.,0,,,,
290,Bill Konigsberg Explores A New Side Of The Gay Experience In His Latest Book, Bill Konigsberg explores a new side of the gay experience in his latest book.  Bill Konigsberg explores a new side of the gay experience in his latest book.,1,,,,
291,'Alone In The Game' Shows Biggest Hurdles For LGBTQ Athletes Exist Off The Field," 'Alone In The Game' Shows Biggest Hurdles For LGBTQ Athletes Exist Off The Field  Being alone in the game can be a big hurdle for LGBTQ athletes, especially when it comes to dealing with discrimination off the field.",1,,,,
292,Chrissy Teigen Somehow Gets Even More Real About Life After Childbirth, Chrissy Teigen somehow gets even more real about life after childbirth.,0,,,,
293,'Suits' Creator Pens Heartfelt Open Letter About Attending Royal Wedding," 'Suits' Creator Pens Heartfelt Open Letter About Attending Royal Wedding  Hey y'all,  I just wanted to share that I was lucky enough to attend the royal wedding this past weekend. It was an incredible experience and I'm so grateful to have been able to witness history in the making.  Cheers,  Aaron",1,,,,
294,Here Are The Movies Coming To Netflix This Week, Here are the flicks hitting Netflix this week.,3,,,,
295,The Obamas Are Coming To Your Netflix Queue, The Obamas are coming to your Netflix queue.,0,,,,
296,Sorry  Ben Affleck  Make Way For Justin Theroux's Giant Rat Tattoo," Sorry Ben Affleck, make way for Justin Theroux's giant rat tattoo.",0,,,,
297,Hillary Clinton Tips A Russian Hat At Trump During Yale Commencement Speech, Hillary Clinton throws some shade at Trump during Yale commencement speech.,3,,,,
298,Giuliani Says Mueller Can't Talk To Trump Until Trump Hears More About FBI Source, Giuliani says Mueller can't talk to Trump until Trump hears more about FBI source.  Giuliani says Mueller can't talk to Trump until Trump hears more about FBI source.,1,,,,
299,Democrats Plan Big Anti-Corruption Theme For Midterms, The Dems are planning to make anti-corruption a big part of their platform for the midterms.,0,,,,
300,Kelly Clarkson Rejects 'Moment Of Silence ' Calls For Change At Billboard Music Awards, Kelly Clarkson rejects calls for a moment of silence at the Billboard Music Awards and calls for change instead.,0,,,,
301,We Asked The American Public To Settle 5 Of The Internet's Dumbest Debates, We asked the American public to settle 5 of the Internet's dumbest debates.  We asked the American public to settle 5 of the Internet's dumbest debates.,1,,,,
302,Fox News Viewers Really Don 2019t Like Lifelong Republican Robert Mueller, Fox News viewers really don't like lifelong Republican Robert Mueller.,0,,,,
303,Trump Team Moves To Lift Ban On 'Extreme' Hunting Tactics In Alaska," The Trump administration is moving to lift a ban on ""extreme"" hunting tactics in Alaska.",0,,,,
304,Howard Stern Tells How Trump Sexualized Ivanka And Makes David Letterman Cringe, Howard Stern talks about how Trump sexualized Ivanka and makes David Letterman cringe.,0,,,,
305,The Supreme Court Is Helping Companies Get Away With Sexual Harassment, The Supreme Court is helping companies get away with sexual harassment.,0,,,,
306,'Deadpool 2' Steals No. 1 Spot At The Box Office From 'Avengers: Infinity War', Deadpool 2 just swiped the top spot at the box office from Avengers: Infinity War.,3,,,,
